id,device,timestamp,MESSAGES_address,MESSAGES_body,MESSAGES_date,MESSAGES_locked,MESSAGES_person,MESSAGES_protocol,MESSAGES_read,MESSAGES_reply_path_present,MESSAGES_service_center,MESSAGES_status,MESSAGES_subject,MESSAGES_thread_id,MESSAGES_type
2de1cbfe-ef3d-4bc7-b799-a04c06a7a110-30,027c6245-b07f-4492-94e8-036454303f9c,1364566889,,,,,,,,,,,,,
830f5422-9874-402c-8256-a653d111732e-68,027c6245-b07f-4492-94e8-036454303f9c,1364602889,,,,,,,,,,,,,
460470ad-d921-499a-9317-565102621d8d-131,027c6245-b07f-4492-94e8-036454303f9c,1364606489,,,,,,,,,,,,,
0ae1b432-47a7-4090-beef-ed13390a8836-73,027c6245-b07f-4492-94e8-036454303f9c,1364584889,,,,,,,,,,,,,
6f098ef5-a483-4741-ae9c-594620f64dd1-3161,027c6245-b07f-4492-94e8-036454303f9c,1364570489,,,,,,,,,,,,,
ced9007a-6f03-4e80-9a33-187b2d2decf8-84,027c6245-b07f-4492-94e8-036454303f9c,1364590067,"{""ONE_WAY_HASH"":""953084ee813526fb5a363b8379450ff07299e843""}","{""ONE_WAY_HASH"":""8e1571d03bef3e24d6e737db9e8c5f564de40b2f""}",1364590067890,False,,0,True,False,,0,,10,2
ced9007a-6f03-4e80-9a33-187b2d2decf8-84,027c6245-b07f-4492-94e8-036454303f9c,1364590067,"{""ONE_WAY_HASH"":""953084ee813526fb5a363b8379450ff07299e843""}","{""ONE_WAY_HASH"":""22e752e59ae5c4214daa2cdb22bdcb9b098d140d""}",1364590061621,False,"{""ONE_WAY_HASH"":""7c8d848f32fa1c53815556ee08aa8ee5994c5a51""}",0,True,False,+14044550007,-1,,10,1
ced9007a-6f03-4e80-9a33-187b2d2decf8-84,027c6245-b07f-4492-94e8-036454303f9c,1364590067,"{""ONE_WAY_HASH"":""953084ee813526fb5a363b8379450ff07299e843""}","{""ONE_WAY_HASH"":""7d5dbc4c6e837b9ef79c171e8fab192be9b80c5a""}",1364590006046,False,,0,True,False,,0,,10,2
ced9007a-6f03-4e80-9a33-187b2d2decf8-84,027c6245-b07f-4492-94e8-036454303f9c,1364590067,"{""ONE_WAY_HASH"":""953084ee813526fb5a363b8379450ff07299e843""}","{""ONE_WAY_HASH"":""2c8ff917da167aeddaa1a9f445a8e65b5738896""}",1364589979247,False,"{""ONE_WAY_HASH"":""7c8d848f32fa1c53815556ee08aa8ee5994c5a51""}",0,True,False,+14044550008,-1,,10,1
ced9007a-6f03-4e80-9a33-187b2d2decf8-84,027c6245-b07f-4492-94e8-036454303f9c,1364590067,"{""ONE_WAY_HASH"":""953084ee813526fb5a363b8379450ff07299e843""}","{""ONE_WAY_HASH"":""fa04cb824f0f5737e568757ce8f6aa1e1f298f4c""}",1364589871509,False,,0,True,False,,0,,10,2
